index,title,status,count,matched_title,cited_by_text,cited_by_url,json_path,csv_path,error
1,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,ok,633,Neural window fully-connected crfs for monocular depth estimation,Cited by 633,"https://www.gupiaoq.com/scholar?cites=16177900808014938089&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/01_new_crfs_neural_window_fully_connected_crfs_for_monocular_depth_estimation.json,tools/citations/01_new_crfs_neural_window_fully_connected_crfs_for_monocular_depth_estimation.csv,
2,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,ok,42,Gic: Gaussian-informed continuum for physical property identification and simulation,Cited by 42,"https://www.gupiaoq.com/scholar?cites=11632955838533441469&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/02_gic_gaussian_informed_continuum_for_physical_property_identification_and_simulation.json,tools/citations/02_gic_gaussian_informed_continuum_for_physical_property_identification_and_simulation.csv,
3,3D Former: Monocular Scene Reconstruction with 3D SDF Transformers,ok,24,3D former: Monocular scene reconstruction with 3D SDF transformers,Cited by 24,"https://www.gupiaoq.com/scholar?cites=9775567141745292259&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/03_3d_former_monocular_scene_reconstruction_with_3d_sdf_transformers.json,tools/citations/03_3d_former_monocular_scene_reconstruction_with_3d_sdf_transformers.csv,
4,MoGenTS: Motion Generation based on Spatial-Temporal Joint Modeling,ok,49,Mogents: Motion generation based on spatial-temporal joint modeling,Cited by 49,"https://www.gupiaoq.com/scholar?cites=3559849122976865470&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/04_mogents_motion_generation_based_on_spatial_temporal_joint_modeling.json,tools/citations/04_mogents_motion_generation_based_on_spatial_temporal_joint_modeling.csv,
5,LAM: Large Avatar Model for One-shot Animatable Gaussian Head,ok,40,LAM: large avatar model for one-shot animatable gaussian head,Cited by 40,"https://www.gupiaoq.com/scholar?cites=12539872877635325564&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/05_lam_large_avatar_model_for_one_shot_animatable_gaussian_head.json,tools/citations/05_lam_large_avatar_model_for_one_shot_animatable_gaussian_head.csv,
6,Freditor: High-Fidelity and Transferable NeRF Editing by Frequency Decomposition,ok,10,Freditor: High-fidelity and transferable nerf editing by frequency decomposition,Cited by 10,"https://www.gupiaoq.com/scholar?cites=2211615855774375793&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/06_freditor_high_fidelity_and_transferable_nerf_editing_by_frequency_decomposition.json,tools/citations/06_freditor_high_fidelity_and_transferable_nerf_editing_by_frequency_decomposition.csv,
7,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,ok,84,End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,Cited by 84,"https://www.gupiaoq.com/scholar?cites=14994599905536756381&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/07_nrrlt_end_to_end_nonprehensile_rearrangement_with_deep_reinforcement_learning_and_simulati.json,tools/citations/07_nrrlt_end_to_end_nonprehensile_rearrangement_with_deep_reinforcement_learning_and_simulati.csv,
8,MFuseNet: Robust Depth Estimation with Learned Multiscopic Fusion,ok,7,Mfusenet: Robust depth estimation with learned multiscopic fusion,Cited by 7,"https://www.gupiaoq.com/scholar?cites=15264070467619112966&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/08_mfusenet_robust_depth_estimation_with_learned_multiscopic_fusion.json,tools/citations/08_mfusenet_robust_depth_estimation_with_learned_multiscopic_fusion.csv,
9,DRO: Deep Recurrent Optimizer for Structure-from-Motion,ok,37,[C] Dro: Deep recurrent optimizer for structure-from-motion,Cited by 37,"https://www.gupiaoq.com/scholar?cites=16512329475982885876&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/09_dro_deep_recurrent_optimizer_for_structure_from_motion.json,tools/citations/09_dro_deep_recurrent_optimizer_for_structure_from_motion.csv,
10,OV9D: Open-Vocabulary Category-Level 9D Object Pose and Size Estimation,ok,17,Ov9d: Open-vocabulary category-level 9d object pose and size estimation,Cited by 17,"https://www.gupiaoq.com/scholar?cites=7600645938045323108&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/10_ov9d_open_vocabulary_category_level_9d_object_pose_and_size_estimation.json,tools/citations/10_ov9d_open_vocabulary_category_level_9d_object_pose_and_size_estimation.csv,
11,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,ok,93,Rearrangement with nonprehensile manipulation using deep reinforcement learning,Cited by 94,"https://www.gupiaoq.com/scholar?cites=15910890903488365952&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/11_nrrl_rearrangement_with_nonprehensile_manipulation_using_deep_reinforcement_learning.json,tools/citations/11_nrrl_rearrangement_with_nonprehensile_manipulation_using_deep_reinforcement_learning.csv,
12,TPRL: Reinforcement Learning in Topology-based Representation for Human Body Movement with Whole Arm Manipulation,ok,39,Reinforcement learning in topology-based representation for human body movement with whole arm manipulation,Cited by 39,"https://www.gupiaoq.com/scholar?cites=4010383941721445483&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/12_tprl_reinforcement_learning_in_topology_based_representation_for_human_body_movement_with_.json,tools/citations/12_tprl_reinforcement_learning_in_topology_based_representation_for_human_body_movement_with_.csv,
13,SMMV: Stereo Matching by Self-supervision of Multiscopic Vision,ok,26,Stereo matching by self-supervision of multiscopic vision,Cited by 26,"https://www.gupiaoq.com/scholar?cites=3162118693286257716&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/13_smmv_stereo_matching_by_self_supervision_of_multiscopic_vision.json,tools/citations/13_smmv_stereo_matching_by_self_supervision_of_multiscopic_vision.csv,
14,CycleSiam: Self-supervised Object Tracking with Cycle-consistent Siamese Networks,ok,28,Self-supervised object tracking with cycle-consistent siamese networks,Cited by 28,"https://www.gupiaoq.com/scholar?cites=8297681315771919437&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/14_cyclesiam_self_supervised_object_tracking_with_cycle_consistent_siamese_networks.json,tools/citations/14_cyclesiam_self_supervised_object_tracking_with_cycle_consistent_siamese_networks.csv,
15,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",ok,63,"Lamp: Language-motion pretraining for motion generation, retrieval, and captioning",Cited by 63,"https://www.gupiaoq.com/scholar?cites=969344340027089092&as_sdt=2005&sciodt=0,5&hl=en",tools/citations/15_lamp_language_motion_pretraining_for_motion_generation_retrieval_and_captioning.json,tools/citations/15_lamp_language_motion_pretraining_for_motion_generation_retrieval_and_captioning.csv,
